Postcode,Dwelling Type,FQ_Sales_Price,Median_Sales_Price,TQ_Sales_Price,Mean_Sales_Price,Sales_No,Qtly_Median_Change,Annual_Median_Change,Qtly_Count_Change,Annual_Count_Change,Year,Quarter
2029,Total,1228,1635,2503,2589,35,-34.47%,8.28%,-46.97%,-53.33%,2022,Q1
2029,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2029,Strata,1075,1520,1785,1545,-,-19.58%,4.90%,-45.10%,-55.56%,2022,Q1
2030,Total,1540,2113,6313,4423,50,-57.31%,-59.37%,-41.86%,-27.54%,2022,Q1
2030,Non Strata,5306,8140,9588,8325,-,4.36%,35.67%,-55.56%,-55.56%,2022,Q1
2030,Strata,1313,1650,2013,1822,-,6.11%,38.08%,-26.83%,25.00%,2022,Q1
2031,Total,1030,1215,1913,1762,144,-18.73%,-8.65%,-32.08%,-20.44%,2022,Q1
2031,Non Strata,2988,3638,4319,3756,32,-3.00%,19.07%,-47.54%,-36.00%,2022,Q1
2031,Strata,985,1150,1321,1192,112,-3.32%,2.68%,-25.83%,-14.50%,2022,Q1
2032,Total,905,1870,2604,1884,46,58.44%,93.73%,-20.69%,-13.21%,2022,Q1
2032,Non Strata,2299,2569,3199,2752,-,1.50%,7.04%,26.32%,14.29%,2022,Q1
2032,Strata,774,895,1110,938,-,-6.28%,10.15%,-43.59%,-31.25%,2022,Q1
2033,Total,888,1275,1600,1757,37,-1.92%,20.28%,-17.78%,-36.21%,2022,Q1
2033,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2033,Strata,874,926,1359,1088,-,-10.34%,1.79%,-3.45%,-34.88%,2022,Q1
2034,Total,1250,1510,1850,1769,69,-5.48%,-8.21%,-28.87%,-33.01%,2022,Q1
2034,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2034,Strata,1225,1475,1690,1475,61,3.15%,5.92%,-22.78%,-17.57%,2022,Q1
2035,Total,1168,1750,2519,1939,131,14.57%,13.64%,-25.57%,-7.09%,2022,Q1
2035,Non Strata,2278,2519,3263,2794,54,-14.93%,9.50%,-30.77%,-21.74%,2022,Q1
2035,Strata,980,1200,1460,1340,77,19.70%,38.73%,-21.43%,6.94%,2022,Q1
2036,Total,830,1085,2244,1521,112,-1.32%,5.08%,-25.33%,-21.13%,2022,Q1
2036,Non Strata,2168,2463,2989,2552,34,-6.19%,17.26%,-39.29%,-20.93%,2022,Q1
2036,Strata,785,938,1108,1072,78,4.22%,7.20%,-17.02%,-21.21%,2022,Q1
2037,Total,1280,1650,2216,1866,75,-13.16%,53.85%,-35.90%,-8.54%,2022,Q1
2037,Non Strata,1900,2250,3200,2668,33,-2.17%,32.35%,-29.79%,13.79%,2022,Q1
2037,Strata,766,1315,1573,1235,42,-9.47%,69.02%,-40.00%,-20.75%,2022,Q1
2038,Total,992,1620,2350,1702,33,-20.20%,-19.80%,-49.23%,-5.71%,2022,Q1
2038,Non Strata,1898,2338,2796,2437,-,-2.60%,10.52%,-68.00%,-44.83%,2022,Q1
2038,Strata,627,992,1225,1009,-,-19.35%,27.18%,13.33%,183.33%,2022,Q1
2039,Total,1292,2200,2603,2100,43,-2.87%,28.28%,-17.31%,-25.86%,2022,Q1
2039,Non Strata,2252,2503,2700,2610,-,2.14%,32.37%,-26.47%,-30.56%,2022,Q1
2039,Strata,881,1077,1675,1393,-,-35.54%,-7.99%,0.00%,-18.18%,2022,Q1
2040,Total,1525,1800,2125,1792,85,0.00%,7.46%,-36.57%,-12.37%,2022,Q1
2040,Non Strata,1750,2005,2295,2090,59,-4.14%,10.93%,-34.44%,-19.18%,2022,Q1
2040,Strata,753,940,1461,1116,-,-16.44%,-0.37%,-40.91%,8.33%,2022,Q1
2041,Total,1725,2300,3493,2659,75,17.05%,18.99%,-23.47%,-10.71%,2022,Q1
2041,Non Strata,2323,3280,4000,3351,47,26.15%,43.54%,9.30%,-2.08%,2022,Q1
2041,Strata,1190,1400,1965,1497,-,3.70%,6.67%,-49.09%,-22.22%,2022,Q1
2042,Total,868,1580,1951,1548,72,-0.06%,9.31%,-29.41%,-37.93%,2022,Q1
2042,Non Strata,1645,1805,2188,1926,46,-2.17%,4.79%,-30.30%,-34.29%,2022,Q1
2042,Strata,676,766,1038,880,-,-7.15%,10.22%,-27.78%,-43.48%,2022,Q1
2043,Total,798,1063,1406,1182,64,6.25%,6.25%,-22.89%,-14.67%,2022,Q1
2043,Non Strata,1418,1725,1875,1727,-,-3.63%,7.81%,-16.67%,17.65%,2022,Q1
2043,Strata,764,890,1078,934,44,-1.11%,-6.66%,-25.42%,-24.14%,2022,Q1
2044,Total,1405,1535,1733,1510,31,-0.65%,20.02%,-27.91%,-35.42%,2022,Q1
2044,Non Strata,1461,1630,1743,1611,-,2.19%,16.22%,-33.33%,-20.00%,2022,Q1
2044,Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2045,Total,2543,3054,3288,2903,-,36.36%,6.80%,-17.65%,7.69%,2022,Q1
2045,Non Strata,2543,3054,3288,2903,-,35.09%,6.80%,-6.67%,7.69%,2022,Q1
2046,Total,978,1335,2750,1886,101,-0.2834,-0.11,-0.3608,-0.2837,2022,Q1
2046,Non Strata,2600,2936,3535,3092,41,-0.47%,20.40%,-43.06%,-29.31%,2022,Q1
2046,Strata,880,1017,1176,1062,60,-2.49%,0.15%,-30.23%,-27.71%,2022,Q1
2047,Total,1245,1530,2300,1987,37,-0.027,0.1127,-0.5595,-0.4394,2022,Q1
2047,Non Strata,2150,2832,4075,3097,-,-5.60%,18.00%,-66.67%,-35.29%,2022,Q1
2047,Strata,1104,1352,1708,1518,-,4.00%,13.71%,-49.02%,-46.94%,2022,Q1
2048,Total,827,968,2413,1604,-,-52.80%,-34.36%,-44.68%,-18.75%,2022,Q1
2048,Non Strata,2211,2450,2504,2551,-,5.04%,47.28%,-62.50%,-40.00%,2022,Q1
2048,Strata,701,831,875,792,-,-2.81%,11.92%,-6.67%,16.67%,2022,Q1
2049,Total,749,1113,2159,1440,38,-32.78%,18.19%,-51.90%,-32.14%,2022,Q1
2049,Non Strata,1863,2318,2803,2325,-,11.96%,35.33%,-68.63%,-33.33%,2022,Q1
2049,Strata,652,763,888,796,-,-14.23%,5.46%,-21.43%,-31.25%,2022,Q1
2050,Total,826,950,1173,1169,46,-0.52%,9.83%,-31.34%,39.39%,2022,Q1
2050,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q1
2050,Strata,809,870,1010,919,36,-1.64%,0.87%,-30.77%,12.50%,2022,Q1
