Postcode,Dwelling Type,FQ_Sales_Price,Median_Sales_Price,TQ_Sales_Price,Mean_Sales_Price,Sales_No,Qtly_Median_Change,Annual_Median_Change,Qtly_Count_Change,Annual_Count_Change,Year,Quarter
2281,Non Strata,890,1018,1335,1104,45,-13.36%,27.25%,-18.18%,-32.84%,2022,Q2
2281,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2282,Total,873,1018,1236,1073,44,-7.50%,18.00%,-18.52%,-38.89%,2022,Q2
2282,Non Strata,950,1085,1269,1152,36,-13.41%,17.33%,-5.26%,-33.33%,2022,Q2
2282,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2283,Total,683,790,1000,920,113,-1.56%,21.54%,8.65%,-20.42%,2022,Q2
2283,Non Strata,690,801,1025,942,96,-1.78%,20.38%,2.13%,-20.66%,2022,Q2
2283,Strata,618,749,950,796,-,15.23%,51.31%,70.00%,-19.05%,2022,Q2
2284,Total,695,785,958,867,51,5.02%,7.90%,2.00%,-1.92%,2022,Q2
2284,Non Strata,701,786,961,873,50,-1.01%,6.51%,8.70%,8.70%,2022,Q2
2284,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2285,Total,719,780,905,798,132,4.00%,20.00%,-11.41%,-16.98%,2022,Q2
2285,Non Strata,721,781,915,801,130,2.70%,18.26%,-0.76%,-10.34%,2022,Q2
2285,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2286,Total,664,759,848,759,-,4.62%,11.54%,-6.67%,7.69%,2022,Q2
2286,Non Strata,664,759,848,759,-,4.62%,11.54%,-6.67%,7.69%,2022,Q2
2287,Total,650,730,873,763,151,-2.67%,14.46%,-2.58%,-19.68%,2022,Q2
2287,Non Strata,678,763,926,801,123,-0.91%,13.46%,-8.89%,-15.75%,2022,Q2
2287,Strata,560,601,633,595,-,-3.12%,20.73%,40.00%,-33.33%,2022,Q2
2289,Total,843,943,1196,1011,86,2.61%,14.24%,26.47%,-22.52%,2022,Q2
2289,Non Strata,883,980,1261,1066,68,3.95%,12.52%,13.33%,-21.84%,2022,Q2
2289,Strata,713,803,925,802,-,10.12%,12.17%,125.00%,-25.00%,2022,Q2
2290,Total,751,906,1199,1026,138,2.58%,29.36%,0.00%,-24.18%,2022,Q2
2290,Non Strata,856,1025,1254,1133,106,5.13%,28.93%,-0.93%,-12.40%,2022,Q2
2290,Strata,620,660,728,668,32,5.60%,25.12%,3.23%,-47.54%,2022,Q2
2291,Total,963,1400,1988,1620,70,2.75%,-15.15%,18.64%,-17.65%,2022,Q2
2291,Non Strata,1371,1869,2413,2042,44,6.28%,10.53%,4.76%,-18.52%,2022,Q2
2291,Strata,679,766,1135,906,-,-2.48%,-17.24%,52.94%,-16.13%,2022,Q2
2292,Total,864,915,992,947,-,8.03%,24.49%,0.00%,9.09%,2022,Q2
2292,Non Strata,864,915,992,947,-,5.90%,7.02%,20.00%,100.00%,2022,Q2
2293,Total,816,1030,1355,1089,31,14.13%,46.75%,72.22%,-13.89%,2022,Q2
2293,Non Strata,1018,1164,1353,1181,-,19.33%,24.44%,100.00%,128.57%,2022,Q2
2293,Strata,713,807,1333,991,-,3.73%,20.45%,50.00%,-48.28%,2022,Q2
2294,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2294,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2295,Total,925,1050,1200,1046,-,0.00%,29.47%,-4.17%,-46.51%,2022,Q2
2295,Non Strata,925,1050,1200,1046,-,0.00%,31.25%,-4.17%,-43.90%,2022,Q2
2296,Total,840,925,1098,1000,-,-20.33%,12.80%,266.67%,-15.38%,2022,Q2
2296,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2296,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2297,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2297,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2298,Total,725,800,920,846,46,2.56%,10.04%,31.43%,17.95%,2022,Q2
2298,Non Strata,775,831,985,892,36,-3.43%,9.82%,50.00%,28.57%,2022,Q2
2298,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2299,Total,678,780,889,802,47,4.00%,13.04%,20.51%,-30.88%,2022,Q2
2299,Non Strata,708,830,926,874,36,-4.60%,8.50%,44.00%,-32.08%,2022,Q2
2299,Strata,423,596,648,566,-,6.46%,12.76%,-21.43%,-26.67%,2022,Q2
2300,Total,683,908,1398,1158,98,0.28%,5.54%,15.29%,-40.61%,2022,Q2
2300,Non Strata,1400,1900,2500,2073,-,-10.32%,15.15%,50.00%,-4.55%,2022,Q2
2300,Strata,625,825,1121,909,77,-2.94%,5.10%,8.45%,-46.15%,2022,Q2
2302,Total,711,753,781,731,-,22.36%,41.98%,-52.94%,-55.56%,2022,Q2
2302,Strata,711,753,781,731,-,22.36%,41.98%,-52.94%,-55.56%,2022,Q2
2303,Total,1018,1225,1505,1242,-,-12.03%,28.95%,-15.62%,-42.55%,2022,Q2
2303,Non Strata,1065,1300,1585,1314,-,-7.14%,7.44%,-20.69%,-36.11%,2022,Q2
2303,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2304,Total,748,843,948,832,80,7.67%,12.33%,14.29%,-5.88%,2022,Q2
2304,Non Strata,792,883,949,886,66,7.31%,14.63%,22.22%,1.54%,2022,Q2
2304,Strata,404,553,672,575,-,0.44%,-4.82%,-12.50%,-30.00%,2022,Q2
2305,Total,710,924,1161,1009,46,-14.44%,-3.75%,6.98%,-14.81%,2022,Q2
2305,Non Strata,934,1140,1332,1179,-,-2.36%,12.43%,-16.67%,-31.82%,2022,Q2
2305,Strata,637,668,710,689,-,5.12%,4.30%,128.57%,60.00%,2022,Q2
2306,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2306,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2307,Total,618,690,765,684,-,-4.83%,27.19%,63.64%,-14.29%,2022,Q2
2307,Non Strata,618,715,775,687,-,-4.03%,27.68%,88.89%,-5.56%,2022,Q2
2307,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2311,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2311,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2312,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2312,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2315,Total,581,900,1229,967,110,-1.64%,22.00%,-13.39%,-27.63%,2022,Q2
2315,Non Strata,925,1100,1395,1191,59,0.00%,22.22%,-18.06%,-33.71%,2022,Q2
2315,Strata,400,553,808,707,51,-18.75%,0.45%,-7.27%,-19.05%,2022,Q2
2316,Total,923,1140,1305,1268,-,15.15%,55.10%,-48.39%,-46.67%,2022,Q2
2316,Non Strata,923,1140,1305,1268,-,15.15%,52.00%,-40.74%,-36.00%,2022,Q2
2317,Total,654,856,1200,935,48,-13.51%,35.91%,26.32%,33.33%,2022,Q2
2317,Non Strata,766,920,1200,1001,38,-12.38%,15.36%,46.15%,72.73%,2022,Q2
2317,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2318,Total,679,800,1078,873,36,-5.88%,15.94%,-26.53%,-38.98%,2022,Q2
2318,Non Strata,679,800,1078,873,36,-5.88%,15.94%,-26.53%,-38.98%,2022,Q2
2319,Total,614,708,800,701,36,2.02%,17.92%,-7.69%,-12.20%,2022,Q2
2319,Non Strata,614,708,800,701,36,-2.08%,18.41%,0.00%,-5.26%,2022,Q2
2320,Total,568,684,899,790,196,-1.65%,20.44%,1.03%,-17.65%,2022,Q2
2320,Non Strata,620,725,951,849,169,1.33%,20.83%,6.96%,-19.14%,2022,Q2
2320,Strata,383,425,500,424,-,-5.76%,30.77%,-25.00%,-6.90%,2022,Q2
2321,Total,700,780,945,853,77,4.00%,27.87%,-11.49%,-35.29%,2022,Q2
2321,Non Strata,704,780,946,857,76,4.00%,26.83%,-8.43%,-35.04%,2022,Q2
2321,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2322,Total,611,678,986,783,78,-4.78%,11.07%,-17.02%,-40.91%,2022,Q2
2322,Non Strata,624,693,990,805,72,-4.51%,10.27%,-19.10%,-42.86%,2022,Q2
2322,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2323,Total,650,710,805,741,115,-1.11%,19.83%,-8.73%,-2.54%,2022,Q2
2323,Non Strata,680,740,820,772,100,-1.33%,23.33%,7.53%,1.01%,2022,Q2
2323,Strata,504,560,585,532,-,5.66%,27.85%,-54.55%,-21.05%,2022,Q2
2324,Total,538,650,820,708,129,-5.32%,14.04%,-3.73%,-15.69%,2022,Q2
2324,Non Strata,575,685,875,733,117,-2.84%,18.51%,2.63%,-12.69%,2022,Q2
2324,Strata,405,433,501,467,-,-1.14%,0.58%,-40.00%,-36.84%,2022,Q2
2325,Total,538,600,684,663,162,0.00%,25.00%,5.88%,-26.03%,2022,Q2
2325,Non Strata,555,614,700,686,146,-1.05%,22.70%,5.80%,-27.00%,2022,Q2
2325,Strata,400,450,488,453,-,2.27%,28.94%,6.67%,-15.79%,2022,Q2
2326,Total,504,610,739,660,36,10.91%,35.56%,24.14%,-7.69%,2022,Q2
2326,Non Strata,504,610,739,660,36,10.91%,29.79%,24.14%,0.00%,2022,Q2
2327,Total,538,595,640,582,43,5.31%,25.61%,26.47%,-2.27%,2022,Q2
2327,Non Strata,572,600,653,612,36,0.17%,25.00%,20.00%,-12.20%,2022,Q2
2327,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2328,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2328,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2329,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2329,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2330,Total,523,590,740,658,123,3.51%,31.11%,9.82%,-12.77%,2022,Q2
2330,Non Strata,552,630,779,700,106,2.86%,31.94%,17.78%,-8.62%,2022,Q2
2330,Strata,320,360,485,396,-,-1.80%,2.86%,-22.73%,-32.00%,2022,Q2
2333,Total,385,435,485,442,144,4.82%,31.82%,-4.00%,-2.70%,2022,Q2
2333,Non Strata,389,440,490,451,128,2.33%,27.17%,-3.76%,9.40%,2022,Q2
2333,Strata,358,389,416,373,-,27.38%,46.60%,-5.88%,-48.39%,2022,Q2
2334,Total,570,650,910,736,-,3.17%,26.21%,13.33%,0.00%,2022,Q2
2334,Non Strata,570,650,910,736,-,3.17%,26.21%,13.33%,0.00%,2022,Q2
2335,Total,675,853,1250,969,40,17.11%,40.10%,0.00%,-31.03%,2022,Q2
2335,Non Strata,675,853,1250,969,40,17.11%,38.62%,0.00%,-27.27%,2022,Q2
2336,Total,395,430,685,675,-,-1.15%,26.47%,-40.00%,9.09%,2022,Q2
2336,Non Strata,395,430,685,675,-,-1.15%,26.47%,-40.00%,9.09%,2022,Q2
2337,Total,400,468,621,524,42,-2.55%,16.94%,7.69%,-27.59%,2022,Q2
2337,Non Strata,400,468,621,524,42,-4.05%,11.37%,16.67%,-20.75%,2022,Q2
2338,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2338,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2340,Total,375,460,595,497,281,6.11%,26.03%,-6.95%,-19.94%,2022,Q2
2340,Non Strata,380,470,610,509,261,3.30%,25.33%,-5.78%,-18.94%,2022,Q2
2340,Strata,266,314,398,338,-,-3.46%,19.75%,-20.00%,-31.03%,2022,Q2
2341,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2341,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2342,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2342,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2343,Total,250,353,487,422,36,2.17%,23.68%,38.46%,9.09%,2022,Q2
2343,Non Strata,250,353,487,422,36,2.17%,23.68%,38.46%,9.09%,2022,Q2
2345,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2345,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2346,Total,237,270,321,284,-,0.00%,-1.82%,43.75%,21.05%,2022,Q2
2346,Non Strata,237,270,321,284,-,0.00%,-1.82%,43.75%,21.05%,2022,Q2
2347,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2347,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2350,Total,395,480,593,502,169,-2.04%,20.00%,2.42%,-13.78%,2022,Q2
2350,Non Strata,425,500,605,545,141,-3.85%,22.70%,-4.08%,-19.89%,2022,Q2
2350,Strata,185,295,382,283,-,4.42%,-11.41%,55.56%,40.00%,2022,Q2
2352,Total,396,425,450,421,-,-6.59%,3.66%,-31.58%,0.00%,2022,Q2
2352,Non Strata,396,425,450,421,-,-6.59%,3.66%,-31.58%,0.00%,2022,Q2
2353,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2353,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2354,Total,315,380,467,469,-,-12.14%,5.56%,37.50%,57.14%,2022,Q2
2354,Non Strata,315,380,467,469,-,-12.14%,5.56%,37.50%,57.14%,2022,Q2
2355,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2355,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2357,Total,211,257,319,266,-,0.20%,23.61%,-20.00%,0.00%,2022,Q2
2357,Non Strata,211,257,319,266,-,0.20%,23.61%,-20.00%,0.00%,2022,Q2
2358,Total,413,460,653,521,-,-4.17%,31.43%,9.52%,-11.54%,2022,Q2
2358,Non Strata,413,460,653,521,-,-4.17%,31.43%,9.52%,-11.54%,2022,Q2
2359,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2359,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2360,Total,320,372,519,427,77,-2.11%,7.83%,-9.41%,-19.79%,2022,Q2
2360,Non Strata,320,376,519,429,76,-1.05%,6.67%,-10.59%,-19.15%,2022,Q2
2360,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2361,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2361,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2365,Total,303,353,431,369,-,11.90%,41.00%,-40.00%,-28.00%,2022,Q2
2365,Non Strata,303,353,431,369,-,11.90%,41.00%,-40.00%,-28.00%,2022,Q2
2370,Total,293,335,387,366,36,0.75%,39.58%,-40.00%,-29.41%,2022,Q2
2370,Non Strata,293,335,387,366,36,0.75%,39.58%,-40.00%,-29.41%,2022,Q2
2371,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2371,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2372,Total,350,400,490,436,-,4.44%,35.59%,11.54%,-32.56%,2022,Q2
2372,Non Strata,350,400,490,436,-,4.44%,35.59%,11.54%,-32.56%,2022,Q2
2380,Total,340,385,485,403,59,-14.44%,14.93%,-23.38%,-21.33%,2022,Q2
2380,Non Strata,340,385,485,407,57,-14.44%,14.93%,-24.00%,-17.39%,2022,Q2
2380,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2381,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2381,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2382,Total,218,261,408,296,-,-1.51%,25.18%,33.33%,71.43%,2022,Q2
2382,Non Strata,218,261,408,296,-,-1.51%,25.18%,33.33%,71.43%,2022,Q2
2388,Total,176,201,263,223,-,11.67%,13.88%,0.00%,10.00%,2022,Q2
2388,Non Strata,176,201,263,223,-,11.67%,13.88%,0.00%,10.00%,2022,Q2
2390,Total,338,383,541,453,42,-6.71%,20.85%,-14.29%,0.00%,2022,Q2
2390,Non Strata,338,383,541,453,42,-6.71%,20.85%,-14.29%,0.00%,2022,Q2
2395,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2395,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2397,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2397,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2399,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2399,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2400,Total,170,275,395,330,59,10.00%,-5.17%,7.27%,3.51%,2022,Q2
2400,Non Strata,195,293,414,349,54,12.60%,0.95%,5.88%,-5.26%,2022,Q2
2400,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2402,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2402,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2404,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2404,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2406,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2406,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2409,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2409,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2420,Total,496,580,638,612,-,-6.45%,29.18%,28.57%,-14.29%,2022,Q2
2420,Non Strata,496,580,638,612,-,-6.45%,29.18%,28.57%,-14.29%,2022,Q2
2421,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2421,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2422,Total,535,620,830,707,-,0.32%,21.57%,26.09%,-25.64%,2022,Q2
2422,Non Strata,535,620,830,707,-,0.32%,21.57%,26.09%,-25.64%,2022,Q2
2423,Total,515,625,905,706,-,-12.28%,4.17%,-28.00%,-14.29%,2022,Q2
2423,Non Strata,515,625,905,706,-,-12.28%,4.17%,-28.00%,-14.29%,2022,Q2
2424,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2424,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2425,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2425,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2426,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2426,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2427,Total,725,850,943,831,-,7.26%,34.92%,-29.63%,-17.39%,2022,Q2
2427,Non Strata,775,850,949,850,-,0.24%,25.46%,-28.00%,0.00%,2022,Q2
2427,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2428,Total,620,770,900,829,169,5.48%,28.33%,4.97%,-25.88%,2022,Q2
2428,Non Strata,725,835,1000,926,115,-5.11%,21.90%,18.56%,-18.44%,2022,Q2
2428,Strata,508,601,700,624,54,8.33%,15.40%,-15.62%,-37.93%,2022,Q2
2429,Total,468,543,799,648,42,8.50%,10.94%,-2.33%,-39.13%,2022,Q2
2429,Non Strata,468,543,799,648,42,8.50%,4.83%,-2.33%,-36.36%,2022,Q2
2430,Total,501,665,850,712,190,14.40%,43.01%,6.74%,-19.15%,2022,Q2
2430,Non Strata,529,684,869,727,158,9.36%,33.50%,3.27%,-23.30%,2022,Q2
2430,Strata,373,575,800,636,32,40.67%,85.48%,28.00%,10.34%,2022,Q2
2431,Total,638,758,911,783,-,-10.88%,26.25%,-45.95%,-60.78%,2022,Q2
2431,Non Strata,715,821,936,837,-,-10.73%,22.76%,-42.86%,-57.89%,2022,Q2
2431,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2439,Total,661,880,975,853,-,32.33%,46.79%,5.56%,-20.83%,2022,Q2
2439,Non Strata,661,880,975,853,-,32.33%,46.79%,5.56%,-20.83%,2022,Q2
2440,Total,376,470,683,529,90,-1.16%,22.43%,12.50%,-15.09%,2022,Q2
2440,Non Strata,406,489,688,545,80,1.77%,26.88%,1.27%,-22.33%,2022,Q2
2440,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2441,Total,623,705,1131,840,-,-5.69%,29.36%,0.00%,0.00%,2022,Q2
2441,Non Strata,623,705,1131,840,-,-5.69%,29.36%,0.00%,0.00%,2022,Q2
2443,Total,635,750,949,792,37,2.74%,33.69%,-38.33%,-17.78%,2022,Q2
2443,Non Strata,645,760,950,812,35,-1.94%,31.03%,-25.53%,-12.50%,2022,Q2
2443,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2444,Total,625,770,948,818,266,-9.41%,17.11%,-15.82%,-13.64%,2022,Q2
2444,Non Strata,723,875,1058,937,166,-4.58%,16.82%,-16.58%,-9.29%,2022,Q2
2444,Strata,508,580,695,620,100,-6.75%,11.54%,-14.53%,-20.00%,2022,Q2
2445,Total,815,900,1250,1064,-,-4.76%,19.92%,-46.87%,-61.36%,2022,Q2
2445,Non Strata,815,900,1250,1064,-,-10.67%,13.28%,-39.29%,-50.00%,2022,Q2
2446,Total,650,827,1213,953,54,18.07%,46.54%,-5.26%,-3.57%,2022,Q2
2446,Non Strata,650,827,1213,953,54,14.79%,43.12%,1.89%,3.85%,2022,Q2
2447,Total,624,710,908,773,-,-1.70%,19.83%,-37.50%,-58.33%,2022,Q2
2447,Non Strata,628,735,932,795,-,1.77%,23.53%,-40.62%,-59.57%,2022,Q2
2447,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2448,Total,575,678,906,754,42,7.54%,35.50%,-14.29%,7.69%,2022,Q2
2448,Non Strata,595,693,925,771,36,0.73%,23.11%,-10.00%,38.46%,2022,Q2
2448,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2449,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2449,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2450,Total,565,785,955,805,199,0.64%,18.29%,-8.29%,-16.74%,2022,Q2
2450,Non Strata,714,878,1150,898,138,-1.04%,17.10%,-2.82%,-15.34%,2022,Q2
2450,Strata,467,570,678,595,61,3.64%,17.89%,-18.67%,-19.74%,2022,Q2
2452,Total,650,733,858,762,66,3.17%,18.03%,3.13%,-4.35%,2022,Q2
2452,Non Strata,700,775,907,822,48,3.96%,23.02%,-4.00%,-9.43%,2022,Q2
2452,Strata,525,542,637,603,-,3.83%,7.33%,28.57%,12.50%,2022,Q2
2453,Total,565,753,924,757,-,73.16%,94.39%,33.33%,-25.00%,2022,Q2
2453,Non Strata,565,753,924,757,-,73.16%,94.39%,33.33%,-25.00%,2022,Q2
2454,Total,771,1018,1266,1027,-,5.99%,16.15%,-45.45%,-33.33%,2022,Q2
2454,Non Strata,771,1018,1266,1027,-,5.99%,16.15%,-45.45%,-33.33%,2022,Q2
2455,Total,551,815,939,786,-,-1.81%,13.19%,20.00%,9.09%,2022,Q2
2455,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2455,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2456,Total,770,870,1200,979,45,-1.69%,20.00%,18.42%,-41.56%,2022,Q2
2456,Non Strata,770,875,1200,992,43,-5.20%,17.53%,22.86%,-38.57%,2022,Q2
2456,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2460,Total,410,490,608,520,139,8.41%,20.99%,7.75%,-4.14%,2022,Q2
2460,Non Strata,430,500,630,540,127,3.95%,20.48%,15.45%,-2.31%,2022,Q2
2460,Strata,214,345,374,307,-,-4.17%,13.11%,-36.84%,-20.00%,2022,Q2
2462,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2462,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2463,Total,701,783,923,828,42,4.33%,20.38%,20.00%,-17.65%,2022,Q2
2463,Non Strata,701,783,923,828,42,4.33%,17.67%,20.00%,-12.50%,2022,Q2
2464,Total,750,921,1200,969,37,-13.11%,22.39%,-9.76%,-42.19%,2022,Q2
2464,Non Strata,858,1000,1283,1079,-,-33.33%,25.55%,4.00%,-45.83%,2022,Q2
2464,Strata,588,650,750,710,-,-23.30%,-9.41%,-31.25%,-31.25%,2022,Q2
2466,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2466,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2469,Total,330,425,534,475,-,3.66%,30.77%,7.14%,-34.78%,2022,Q2
2469,Non Strata,330,425,534,475,-,3.66%,30.77%,7.14%,-34.78%,2022,Q2
2470,Total,420,530,665,535,61,17.78%,34.18%,56.41%,-7.58%,2022,Q2
2470,Non Strata,420,500,608,524,48,8.70%,25.94%,29.73%,-22.58%,2022,Q2
2470,Strata,615,685,685,578,-,160.95%,183.94%,550.00%,225.00%,2022,Q2
2471,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2471,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2472,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2472,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2473,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2473,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2473,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2474,Total,498,580,716,621,34,17.29%,23.40%,30.77%,3.03%,2022,Q2
2474,Non Strata,498,580,716,621,34,17.29%,23.40%,30.77%,3.03%,2022,Q2
2476,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2476,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2477,Total,795,940,1125,961,35,2.73%,18.24%,-23.91%,-36.36%,2022,Q2
2477,Non Strata,900,990,1188,1053,-,4.76%,19.28%,-28.95%,-27.03%,2022,Q2
2477,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2478,Total,913,1230,1600,1289,88,7.89%,33.70%,-16.19%,-40.14%,2022,Q2
2478,Non Strata,1224,1398,1735,1500,48,1.45%,23.35%,-17.24%,-44.83%,2022,Q2
2478,Strata,668,905,1300,1035,40,7.74%,18.30%,-14.89%,-33.33%,2022,Q2
2479,Total,1850,2508,3375,2743,-,2.35%,31.97%,0.00%,-37.93%,2022,Q2
2479,Non Strata,1850,2508,3375,2743,-,2.35%,31.97%,0.00%,-37.93%,2022,Q2
2480,Total,540,710,920,740,117,-4.70%,25.61%,-14.60%,-52.44%,2022,Q2
2480,Non Strata,550,717,929,751,112,-7.33%,18.51%,-8.20%,-49.32%,2022,Q2
2480,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2481,Total,1288,1905,3038,2314,58,-17.17%,5.41%,-4.92%,-27.50%,2022,Q2
2481,Non Strata,2015,2700,3855,2979,35,-12.20%,12.50%,-2.78%,-18.60%,2022,Q2
2481,Strata,948,1225,1497,1303,-,-23.91%,-3.92%,-8.00%,-37.84%,2022,Q2
2482,Total,-,-,-,-,-,-,-,-,-,2022,Q2
2482,Non Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2483,Total,1098,1410,1990,1572,39,-1.91%,24.50%,-11.36%,-30.36%,2022,Q2
2483,Non Strata,1240,1730,2140,1785,-,14.49%,30.42%,-17.14%,-34.09%,2022,Q2
2483,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2484,Total,700,900,1125,1031,53,2.56%,18.97%,-17.19%,-49.04%,2022,Q2
2484,Non Strata,708,918,1143,1040,52,2.51%,19.16%,-16.13%,-46.94%,2022,Q2
2484,Strata,-,-,-,-,-,-,-,-,-,2022,Q2
2485,Total,560,783,1065,832,85,7.19%,25.20%,-23.42%,-41.38%,2022,Q2
2485,Non Strata,850,1073,1327,1123,-,1.18%,21.88%,0.00%,-24.32%,2022,Q2
2485,Strata,472,625,800,689,57,-5.59%,9.41%,-31.33%,-47.22%,2022,Q2
2486,Total,690,850,1078,899,147,-7.10%,15.33%,-3.92%,-30.00%,2022,Q2
2486,Non Strata,888,1022,1200,1058,84,-5.61%,22.88%,-17.65%,-39.13%,2022,Q2
2486,Strata,610,675,783,686,63,3.85%,23.40%,23.53%,-12.50%,2022,Q2
2487,Total,781,1350,1876,1450,78,3.85%,42.11%,1.30%,-29.73%,2022,Q2
2487,Non Strata,1750,1950,2313,2126,35,-6.70%,26.42%,9.38%,-10.26%,2022,Q2
2487,Strata,629,845,1130,900,43,7.64%,16.96%,-4.44%,-40.28%,2022,Q2
2488,Total,1049,1205,1540,1312,-,9.55%,50.63%,-36.84%,-20.00%,2022,Q2
