Date,Open,High,Low,Close,Adj Close,Volume,tickers
,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,
2024-04-30,146.8800048828125,146.8800048828125,144.52999877929688,144.58999633789062,142.35012817382812,8817700,JNJ
2024-05-01,148.74000549316406,151.85000610351562,147.6199951171875,151.17999267578125,148.83804321289062,14470900,JNJ
2024-05-02,152.0399932861328,152.3300018310547,149.13999938964844,149.9199981689453,147.59756469726562,8459800,JNJ
2024-05-03,149.88999938964844,149.88999938964844,147.82000732421875,149.27000427246094,146.95762634277344,6532700,JNJ
2024-05-06,149.8699951171875,150.0500030517578,147.91000366210938,148.5800018310547,146.2783203125,5042800,JNJ
2024-05-07,149.3800048828125,149.72999572753906,148.4499969482422,148.72000122070312,146.41615295410156,7333500,JNJ
2024-05-08,149.1199951171875,149.72999572753906,148.6999969482422,148.9499969482422,146.642578125,7735100,JNJ
2024-05-09,148.97999572753906,150.10000610351562,148.88999938964844,149.85000610351562,147.52865600585938,6546200,JNJ
2024-05-10,150.0,150.08999633789062,149.19000244140625,149.91000366210938,147.5877227783203,5710600,JNJ
2024-05-13,150.0399932861328,152.0,149.7100067138672,151.22000122070312,148.87742614746094,5628500,JNJ
2024-05-14,151.85000610351562,152.2100067138672,150.6999969482422,151.3800048828125,149.0349578857422,8254200,JNJ
2024-05-15,151.82000732421875,152.9499969482422,151.3000030517578,152.6699981689453,150.30496215820312,5548000,JNJ
2024-05-16,153.0,154.3800048828125,152.3300018310547,154.27999877929688,151.8900146484375,7591000,JNJ
2024-05-17,154.86000061035156,154.86000061035156,153.7100067138672,154.63999938964844,152.24444580078125,6521800,JNJ
2024-05-20,153.10000610351562,153.38999938964844,151.25999450683594,151.27000427246094,150.1304931640625,7742300,JNJ
2024-05-21,151.77999877929688,152.58999633789062,150.7899932861328,151.24000549316406,150.10072326660156,5492400,JNJ
2024-05-22,150.83999633789062,154.0800018310547,150.32000732421875,153.5,152.34368896484375,6609800,JNJ
2024-05-23,152.75,152.83999633789062,149.3800048828125,149.6999969482422,148.5723114013672,8000400,JNJ
2024-05-24,149.52999877929688,149.80999755859375,146.75999450683594,146.97000122070312,145.86288452148438,9517000,JNJ
2024-05-28,146.7899932861328,146.7899932861328,144.14999389648438,144.3800048828125,143.2924041748047,10499800,JNJ
2024-05-29,143.82000732421875,145.4199981689453,143.7100067138672,144.44000244140625,143.35194396972656,8263800,JNJ
2024-05-30,144.6199951171875,145.61000061035156,144.02000427246094,145.27999877929688,144.18560791015625,8491100,JNJ
2024-05-31,145.57000732421875,147.47999572753906,145.19000244140625,146.6699981689453,145.5651397705078,14621200,JNJ
2024-06-03,147.25,148.89999389648438,146.77000427246094,147.74000549316406,146.62709045410156,7329200,JNJ
2024-06-04,147.47999572753906,148.30999755859375,146.19000244140625,147.8000030517578,146.68663024902344,8876400,JNJ
2024-06-05,147.97000122070312,147.99000549316406,145.85000610351562,145.97000122070312,144.87042236328125,5891300,JNJ
2024-06-06,145.5,147.0,144.66000366210938,146.4199981689453,145.3170166015625,5016300,JNJ
2024-06-07,146.67999267578125,148.3000030517578,146.33999633789062,147.0800018310547,145.97206115722656,5111600,JNJ
